raw_med_string,canonical_name,drug_class,language,frequency
የወባ መድሀኒት,Antimalarial (unspecified),Antimalarial,am,796
SP pour CIP,Sulfadoxine / Pyrimethamine,Antimalarial,fr,788
dawa ya kikohozi,Cough preparation (unspecified),Symptomatic,sw,783
paracétamol 500,Acetaminophen 500 MG Oral Tablet,Analgesic,fr,783
حبوب الباراسيتامول 500,Acetaminophen 500 MG Oral Tablet,Analgesic,ar,783
TLD 300/300/50,Tenofovir / Lamivudine / Dolutegravir,Antiretroviral,en,779
RHZE phase intensive,Rifampicin/Isoniazid/Pyrazinamide/Ethambutol,Anti-TB,en,777
unknown ARVs,Antiretrovirals (unspecified),Antiretroviral,en,772
Coartem tabs,Artemether / Lumefantrine,Antimalarial,en,754
amoxicilline 500mg gélule,Amoxicillin 500 MG Oral Capsule,Antibiotic,fr,752
CTX prophylaxis,Trimethoprim / Sulfamethoxazole,Antibiotic,en,748
Artesunato IV,Artesunate (injectable),Antimalarial,en,744
xarope de tosse,Cough preparation (unspecified),Symptomatic,pt,741
